[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/codio/workspace
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://patientbrenda-replytheory:3000/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | WARNING] Notebook Coding_Activity_2.1.ipynb is not trusted
[NotebookApp | INFO] Kernel started: 85dd726b-821d-4b11-af50-035ad8f2005e
[NotebookApp | INFO] 302 GET /notebooks/images/dist1.png (192.168.10.93) 1.44ms
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 85dd726b-821d-4b11-af50-035ad8f2005e) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[NotebookApp | INFO] Validating '/home/codio/workspace/Coding_Activity_2.1.ipynb'
[NotebookApp | INFO] Executing notebook with kernel: python3
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[NotebookApp | INFO] Validating '/home/codio/workspace/Coding_Activity_2.1.ipynb'
[NotebookApp | INFO] Executing notebook with kernel: python3
[NotebookApp | INFO] Starting buffering for 85dd726b-821d-4b11-af50-035ad8f2005e:99a8889dd0834ed597720a031a7a1749
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 1 kernel
[NotebookApp | INFO] Kernel shutdown: 85dd726b-821d-4b11-af50-035ad8f2005e
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/codio/workspace
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://nobodysponsor-elementengine:3000/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/codio/workspace
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://patientbrenda-replytheory:3000/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET /notebooks/images/dist1.png (192.168.10.93) 1.02ms
[NotebookApp | INFO] Kernel started: 737f1348-0b33-4f77-bba4-7ca997f9dbc1
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 737f1348-0b33-4f77-bba4-7ca997f9dbc1) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Coding_Activity_2.1.ipynb
[NotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[NotebookApp | INFO] Validating '/home/codio/workspace/Coding_Activity_2.1.ipynb'
[NotebookApp | INFO] Executing notebook with kernel: python3
[NotebookApp | INFO] Starting buffering for 737f1348-0b33-4f77-bba4-7ca997f9dbc1:58fd7d7a19584eb98c7a1ecf89abd7e1
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 1 kernel
[NotebookApp | INFO] Kernel shutdown: 737f1348-0b33-4f77-bba4-7ca997f9dbc1
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/codio/workspace
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://nobodysponsor-elementengine:3000/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
